Pos.,Team,Ht.,Wt.,Last Name,First Name,ID,Abbreviation,Conference,Division
WR,Bengals,6-1,199,Hamilton,Karel,7.0,CIN,AFC,North
WR,Raiders,6-2,204,Whitney,Isaac,23.0,LV,AFC,West
WR,Chargers,6-4,218,Williams,Mike,26.0,LAC,AFC,West
WR,Seahawks,6-1,218,Rogers,Darreus,28.0,SEA,NFC,West
WR,Ravens,6-1,200,Moore,Chris,3.0,BAL,AFC,North
WR,Colts,6-2,222,Moncrief,Donte,14.0,IND,AFC,South
WR,Chiefs,5-10,185,Hill,Tyreek,16.0,KC,AFC,West
WR,Eagles,6-4,221,Hollins,Mack,24.0,PHI,NFC,East
WR,Ravens,6-2,215,Perriman,Breshad,3.0,BAL,AFC,North
WR,Packers,6-1,188,Davis,Trevor,12.0,GB,NFC,North
WR,Texans,6-2,205,Strong,Jaelen,13.0,HOU,AFC,South
WR,Jaguars,6-0,178,Westbrook,Dede,15.0,JAX,AFC,South
WR,Falcons,6-0,194,Fuller,Devin,2.0,ATL,NFC,South
WR,Patriots,6-2,200,Lucien,Devin,19.0,NE,AFC,East
WR,Packers,6-2,200,McCaffrey,Max,12.0,GB,NFC,North
WR,Vikings,6-1,195,Coley,Stacy,18.0,MIN,NFC,North
WR,49ers,6-1,208,Burbridge,Aaron,27.0,SF,NFC,West
